B,T,mean_ms,std_ms,tokens_per_sec,kv_bytes_MB,bw_GBs,error
1,1024,0.0561,0.0021,17829.5593,4.1943,74.7826,
1,2048,0.0661,0.0012,15126.1175,8.3886,126.8871,
1,4096,0.0856,0.002,11680.3558,16.7772,195.9639,
1,8192,0.1235,0.0017,8094.234,33.5544,271.5974,
1,16384,0.2037,0.0034,4909.9073,67.1089,329.4983,
1,32768,0.3712,0.005,2693.9278,134.2177,361.5729,
2,1024,0.0655,0.0018,30522.4842,8.3886,128.0206,
2,2048,0.0881,0.0022,22710.1434,16.7772,190.5065,
2,4096,0.128,0.0027,15631.0016,33.5544,262.2447,
2,8192,0.2096,0.0042,9540.7795,67.1089,320.1354,
2,16384,0.3664,0.0045,5458.8104,134.2177,366.3346,
2,32768,0.6792,0.008,2944.8469,268.4355,395.2507,
4,1024,0.1186,0.0018,33721.7057,16.7772,141.4391,
4,2048,0.1996,0.0008,20043.0012,33.5544,168.1329,
4,4096,0.3618,0.0011,11056.5129,67.1089,185.4975,
4,8192,0.686,0.0016,5831.1669,134.2177,195.6615,
4,16384,1.2014,0.1158,3329.364,268.4355,223.4298,
4,32768,2.1569,0.0018,1854.4946,536.8709,248.9061,
8,1024,0.1398,0.0012,57237.1541,33.5544,240.07,
8,2048,0.2444,0.0008,32737.5284,67.1089,274.6223,
8,4096,0.4527,0.0015,17670.4928,134.2177,296.4617,
8,8192,0.8848,0.0076,9041.141,268.4355,303.3704,
8,16384,1.7488,0.0012,4574.5815,536.8709,306.995,
8,32768,3.5093,0.0361,2279.6271,1073.7418,305.9664,
16,1024,0.2203,0.0012,72627.3204,67.1089,304.6211,
16,2048,0.3977,0.0015,40235.3635,134.2177,337.5187,
16,4096,0.7578,0.0104,21113.5965,268.4355,354.2274,
16,8192,1.5327,0.0172,10439.3134,536.8709,350.2852,
16,16384,3.0625,0.0282,5224.5435,1073.7418,350.6132,
16,32768,6.1695,0.0505,2593.3944,2147.4836,348.0795,
32,1024,0.4257,0.0021,75168.4348,134.2177,315.2793,
32,2048,0.7858,0.0046,40720.7586,268.4355,341.5905,
32,4096,1.5346,0.0392,20851.8577,536.8709,349.8361,
32,8192,3.1485,0.023,10163.7205,1073.7418,341.0379,
32,16384,6.1043,0.0407,5242.1985,2147.4836,351.798,
32,32768,12.2402,0.0695,2614.3339,4294.9673,350.89,
64,1024,0.7759,0.0008,82489.1681,268.4355,345.9846,
64,2048,1.4769,0.0247,43333.9075,536.8709,363.5112,
64,4096,3.0205,0.0428,21188.4761,1073.7418,355.4836,
64,8192,6.0335,0.0932,10607.3958,2147.4836,355.9251,
64,16384,11.8573,0.0602,5397.536,4294.9673,362.2225,
64,32768,23.885,0.5031,2679.5081,8589.9346,359.6375,
