config,B,T,mean_ms,std_ms,tokens_per_sec,kv_bytes_MB,bw_GBs,error
fp16_fp16,1,2048,0.0454,0.0082,22021.6167,8.3886,184.7307,
fp16_fp16,1,8192,0.0543,0.0047,18420.4931,33.5544,618.0892,
fp16_fp16,1,16384,0.0706,0.0027,14159.4048,67.1089,950.2216,
fp16_fp16,4,2048,0.0485,0.0028,82461.9208,33.5544,691.7407,
fp16_fp16,4,8192,0.1042,0.0021,38388.0884,134.2177,1288.0905,
fp16_fp16,4,16384,0.181,0.0049,22101.2437,268.4355,1483.1894,
fp16_fp16,8,2048,0.0743,0.0045,107704.5324,67.1089,903.4911,
fp16_fp16,8,8192,0.1816,0.0027,44055.2166,268.4355,1478.2478,
fp16_fp16,8,16384,0.3277,0.0039,24415.8994,536.8709,1638.5233,
fp16_fp16,16,2048,0.1094,0.0024,146247.421,134.2177,1226.8123,
fp16_fp16,16,8192,0.3276,0.0045,48841.239,536.8709,1638.84,
fp16_fp16,16,16384,0.614,0.0028,26060.5023,1073.7418,1748.8907,
kfp16_vint4,1,2048,0.0361,0.0027,27667.3941,8.3886,232.0909,
kfp16_vint4,1,8192,0.0522,0.0027,19151.5649,33.5544,642.6199,
kfp16_vint4,1,16384,0.0701,0.0015,14260.2155,67.1089,956.9869,
kfp16_vint4,4,2048,0.048,0.0025,83305.8676,33.5544,698.8203,
kfp16_vint4,4,8192,0.1039,0.0014,38485.2666,134.2177,1291.3513,
kfp16_vint4,4,16384,0.1792,0.0016,22320.4031,268.4355,1497.8969,
kfp16_vint4,8,2048,0.0721,0.0014,110968.1996,67.1089,930.8687,
kfp16_vint4,8,8192,0.1803,0.0021,44370.4279,268.4355,1488.8245,
kfp16_vint4,8,16384,0.3269,0.0024,24475.1285,536.8709,1642.4981,
kfp16_vint4,16,2048,0.108,0.0022,148140.7765,134.2177,1242.6949,
kfp16_vint4,16,8192,0.3244,0.0022,49326.2836,536.8709,1655.1154,
kfp16_vint4,16,16384,0.6137,0.0034,26069.5464,1073.7418,1749.4976,
kint8_vint4,1,2048,0.0361,0.0026,27690.4315,8.3886,232.2842,
kint8_vint4,1,8192,0.052,0.0025,19219.0444,33.5544,644.8841,
kint8_vint4,1,16384,0.0704,0.0023,14212.9359,67.1089,953.814,
kint8_vint4,4,2048,0.0479,0.0008,83469.0202,33.5544,700.1889,
kint8_vint4,4,8192,0.1034,0.0016,38694.4056,134.2177,1298.3688,
kint8_vint4,4,16384,0.1789,0.0022,22364.0609,268.4355,1500.8267,
kint8_vint4,8,2048,0.0714,0.0019,112053.6661,67.1089,939.9743,
kint8_vint4,8,8192,0.1819,0.003,43983.7445,268.4355,1475.8496,
kint8_vint4,8,16384,0.3272,0.0031,24449.6446,536.8709,1640.7879,
kint8_vint4,16,2048,0.1074,0.0017,148910.7551,134.2177,1249.154,
kint8_vint4,16,8192,0.3258,0.0029,49106.0861,536.8709,1647.7268,
kint8_vint4,16,16384,0.6144,0.0028,26042.6615,1073.7418,1747.6934,
