B,T,mean_ms,std_ms,tokens_per_sec,kv_bytes_MB,bw_GBs,error
1,2048,0.042,0.0214,23823.4736,8.3886,199.8458,
1,8192,0.0516,0.0024,19387.3606,33.5544,650.5319,
1,16384,0.0703,0.0032,14224.5085,67.1089,954.5906,
1,32768,0.1061,0.0019,9424.4147,134.2177,1264.9235,
4,2048,0.0475,0.0022,84214.013,33.5544,706.4383,
4,8192,0.1029,0.0016,38885.2549,134.2177,1304.7726,
4,16384,0.1781,0.0021,22454.2003,268.4355,1506.8759,
4,32768,0.3283,0.0029,12183.7263,536.8709,1635.2721,
8,2048,0.0707,0.0019,113080.4517,67.1089,948.5876,
8,8192,0.1791,0.0014,44664.1975,268.4355,1498.6818,
8,16384,0.3248,0.0029,24627.0125,536.8709,1652.6908,
8,32768,0.6176,0.0038,12954.3422,1073.7418,1738.7024,
16,2048,0.1068,0.0027,149749.6147,134.2177,1256.1908,
16,8192,0.3235,0.0022,49464.4929,536.8709,1659.753,
16,16384,0.6119,0.0035,26149.5593,1073.7418,1754.8672,
16,32768,1.1871,0.0048,13477.6973,2147.4836,1808.9459,
