B,T_kv,pipeline_a_mean_ms,pipeline_a_std_ms,pipeline_b_mean_ms,pipeline_b_std_ms,speedup,latency_improvement_pct,pipeline_a_tok_per_sec,pipeline_b_tok_per_sec,throughput_improvement_pct,peak_mem_a_mb,peak_mem_b_mb,traffic_reduction_pct
1,2048,0.2724,0.0012,0.1162,0.0013,2.344,57.34,3671.1,8605.9,134.42,8.7,0.3,87.7
4,2048,0.3644,0.0007,0.1196,0.0007,3.047,67.18,10976.9,33444.8,204.68,34.7,1.2,87.7
8,2048,0.522,0.0051,0.1318,0.0018,3.961,74.75,15325.7,60698.0,296.05,69.5,2.4,87.7
1,4096,0.4179,0.0013,0.1795,0.0008,2.328,57.05,2392.9,5571.0,132.81,17.4,0.6,87.7
4,4096,0.6623,0.0101,0.2023,0.0013,3.274,69.45,6039.6,19772.6,227.39,69.5,2.4,87.7
8,4096,1.1263,0.0052,0.2235,0.0008,5.039,80.16,7102.9,35794.2,403.94,139.0,4.7,87.7
1,8192,0.7371,0.0032,0.349,0.0079,2.112,52.65,1356.7,2865.3,111.2,34.7,1.2,87.7
4,8192,1.3399,0.0284,0.3394,0.0088,3.948,74.67,2985.3,11785.5,294.78,139.0,4.7,87.7
8,8192,2.1493,0.0289,0.4081,0.0194,5.267,81.01,3722.1,19603.0,426.66,277.9,9.5,87.7
1,16384,1.3342,0.013,0.6059,0.0082,2.202,54.59,749.5,1650.4,120.2,69.5,2.4,87.7
4,16384,2.5352,0.0386,0.6366,0.0042,3.982,74.89,1577.8,6283.4,298.24,277.9,9.5,87.7
8,16384,3.8687,0.0371,0.7088,0.0235,5.458,81.68,2067.9,11286.7,445.81,555.8,18.9,87.7
