config,B,T_kv,pipeline_a_mean_ms,pipeline_a_std_ms,pipeline_b_mean_ms,pipeline_b_std_ms,pipeline_c_mean_ms,pipeline_c_std_ms,speedup_b_vs_a,speedup_b_vs_c,latency_improvement_pct,pipeline_a_tok_per_sec,pipeline_b_tok_per_sec,pipeline_c_tok_per_sec,throughput_improvement_pct,peak_mem_a_mb,peak_mem_b_mb,peak_mem_c_mb,traffic_reduction_b_vs_a_pct,traffic_reduction_b_vs_c_pct
qwen25_05b,1,2048,0.271,0.0012,0.1127,0.0008,0.178,0.0015,2.405,1.579,58.41,3690.0,8873.1,5618.0,140.46,8.7,0.3,8.7,87.7,71.9
qwen25_05b,2,2048,0.2982,0.0016,0.1153,0.0025,0.1945,0.0004,2.586,1.687,61.33,6706.9,17346.1,10282.8,158.63,17.7,0.9,17.7,87.7,71.9
qwen25_05b,4,2048,0.3852,0.0037,0.1191,0.001,0.2469,0.0017,3.234,2.073,69.08,10384.2,33585.2,16200.9,223.43,35.3,1.8,35.3,87.7,71.9
qwen25_05b,8,2048,0.6261,0.0208,0.1346,0.0064,0.3662,0.0214,4.652,2.721,78.5,12777.5,59435.4,21846.0,365.16,70.6,3.5,70.6,87.7,71.9
qwen25_05b,16,2048,0.9983,0.0115,0.1589,0.0012,0.6484,0.035,6.283,4.081,84.08,16027.2,100692.3,24676.1,528.26,141.2,7.0,141.2,87.7,71.9
qwen25_05b,1,4096,0.4222,0.0011,0.1789,0.0011,0.3273,0.0103,2.36,1.83,57.63,2368.5,5589.7,3055.3,136.0,21.9,5.1,21.9,87.7,71.9
qwen25_05b,2,4096,0.4801,0.0015,0.1789,0.0005,0.3546,0.0013,2.684,1.982,62.74,4165.8,11179.4,5640.2,168.36,35.3,1.7,35.3,87.7,71.9
qwen25_05b,4,4096,0.6569,0.0013,0.2015,0.0133,0.9239,0.8443,3.26,4.585,69.33,6089.2,19851.1,4329.5,226.0,70.6,3.5,70.6,87.7,71.9
qwen25_05b,8,4096,1.0445,0.0077,0.2089,0.0011,0.8363,0.0211,5.0,4.003,80.0,7659.2,38295.8,9565.9,400.0,141.2,7.0,141.2,87.7,71.9
qwen25_05b,16,4096,1.7877,0.0462,0.2563,0.0083,1.4006,0.0605,6.975,5.465,85.66,8950.0,62426.8,11423.7,597.5,282.4,14.0,282.4,87.7,71.9
qwen25_05b,1,8192,0.7467,0.0029,0.3127,0.0005,0.6107,0.0026,2.388,1.953,58.12,1339.2,3198.0,1637.5,138.79,43.7,10.1,43.7,87.7,71.9
qwen25_05b,2,8192,0.8753,0.0019,0.3138,0.002,0.6906,0.0018,2.789,2.201,64.15,2284.9,6373.5,2896.0,178.94,70.6,3.5,70.6,87.7,71.9
qwen25_05b,4,8192,1.2676,0.0045,0.3298,0.0025,0.9851,0.0084,3.844,2.987,73.98,3155.6,12128.6,4060.5,284.35,141.2,7.0,141.2,87.7,71.9
qwen25_05b,8,8192,1.9882,0.0083,0.3662,0.006,1.5165,0.0693,5.429,4.141,81.58,4023.7,21846.0,5275.3,442.93,282.4,13.9,282.4,87.7,71.9
qwen25_05b,16,8192,3.5437,0.0637,0.43,0.0126,2.5276,0.0852,8.241,5.878,87.87,4515.1,37209.3,6330.1,724.12,564.7,27.9,564.7,87.7,71.9
qwen25_05b,1,16384,1.3714,0.0042,0.5751,0.0012,1.1984,0.0136,2.385,2.084,58.06,729.2,1738.8,834.4,138.46,87.3,20.2,87.3,87.7,71.9
qwen25_05b,2,16384,1.7549,0.0055,0.5833,0.0117,1.4424,0.0072,3.009,2.473,66.76,1139.7,3428.8,1386.6,200.86,141.2,7.0,141.2,87.7,71.9
qwen25_05b,4,16384,2.4356,0.0128,0.6126,0.0017,1.9147,0.0294,3.976,3.126,74.85,1642.3,6529.5,2089.1,297.58,282.3,13.9,282.3,87.7,71.9
qwen25_05b,8,16384,3.9245,0.0907,0.6712,0.0048,2.9711,0.1215,5.847,4.427,82.9,2038.5,11919.0,2692.6,484.7,564.7,27.8,564.7,87.7,71.9
qwen25_05b,16,16384,7.3859,0.0685,0.895,0.0067,4.9887,0.2819,8.252,5.574,87.88,2166.3,17877.1,3207.2,725.24,1129.4,55.6,1129.4,87.7,71.9
qwen25_05b,1,32768,2.8154,0.0084,1.1115,0.0013,2.4483,0.0043,2.533,2.203,60.52,355.2,899.7,408.4,153.3,174.6,40.4,174.6,87.7,71.9
qwen25_05b,2,32768,3.467,0.0789,1.117,0.0016,2.8644,0.0121,3.104,2.564,67.78,576.9,1790.5,698.2,210.38,282.3,13.9,282.3,87.7,71.9
qwen25_05b,4,32768,4.8195,0.0236,1.1655,0.0072,3.7736,0.0905,4.135,3.238,75.82,830.0,3432.0,1060.0,313.51,564.7,27.8,564.7,87.7,71.9
qwen25_05b,8,32768,8.4798,0.0757,1.4038,0.0261,5.781,0.1849,6.041,4.118,83.45,943.4,5698.8,1383.8,504.06,1129.4,55.6,1129.4,87.7,71.9
qwen25_05b,16,32768,16.0593,0.0622,1.7419,0.0228,10.2738,0.504,9.219,5.898,89.15,996.3,9185.4,1557.4,821.94,2258.7,111.2,2258.7,87.7,71.9
qwen25_7b,1,2048,0.5251,0.0035,0.127,0.0016,0.3845,0.0024,4.135,3.028,75.81,1904.4,7874.0,2600.8,313.46,34.7,1.2,34.7,87.7,71.9
qwen25_7b,2,2048,0.6659,0.0018,0.1378,0.0009,0.4803,0.0023,4.832,3.485,79.31,3003.5,14513.8,4164.1,383.24,70.6,3.5,70.6,87.7,71.9
qwen25_7b,4,2048,0.997,0.0132,0.1586,0.001,0.7095,0.0163,6.286,4.474,84.09,4012.0,25220.7,5637.8,528.63,141.2,7.0,141.2,87.7,71.9
qwen25_7b,8,2048,1.7429,0.033,0.1954,0.0022,1.3078,0.0484,8.92,6.693,88.79,4590.1,40941.7,6117.1,791.97,282.5,14.0,282.5,87.7,71.9
qwen25_7b,16,2048,3.3991,0.1354,0.3274,0.003,2.316,0.0236,10.382,7.074,90.37,4707.1,48869.9,6908.5,938.21,564.9,28.1,564.9,87.7,71.9
qwen25_7b,1,4096,0.9329,0.0029,0.207,0.0017,0.7502,0.0029,4.507,3.624,77.81,1071.9,4830.9,1333.0,350.68,87.4,20.3,87.4,87.7,71.9
qwen25_7b,2,4096,1.267,0.0017,0.23,0.0012,0.9821,0.0129,5.509,4.27,81.85,1578.5,8695.7,2036.5,450.87,141.2,7.0,141.2,87.7,71.9
