B,M,P0_mean_ms,P0_std_ms,P1_mean_ms,P1_std_ms,P1_vs_P0,P2_mean_ms,P2_std_ms,P2_vs_P0,P3_mean_ms,P3_std_ms,P3_vs_P0,P4_mean_ms,P4_std_ms,P4_vs_P0,P5_mean_ms,P5_std_ms,P5_vs_P0,R,T_kv,config,mode
1,1,0.1812,0.0017,0.2988,0.0137,0.606,0.1323,0.0032,1.37,0.098,0.002,1.849,,,,0.0967,0.003,1.874,1,2048,qwen25_05b,decode
2,1,0.1976,0.0012,0.3134,0.0012,0.631,0.1174,0.0007,1.683,0.0801,0.0004,2.467,,,,0.08,0.0009,2.47,1,2048,qwen25_05b,decode
4,1,0.2495,0.0028,0.3982,0.0139,0.627,0.1168,0.0007,2.136,0.0853,0.0004,2.925,,,,0.0852,0.0006,2.928,1,2048,qwen25_05b,decode
8,1,0.3599,0.0047,0.5595,0.0094,0.643,0.1265,0.0009,2.845,0.0923,0.0006,3.899,,,,0.0923,0.0026,3.899,1,2048,qwen25_05b,decode
16,1,0.7192,0.0241,0.9385,0.0017,0.766,0.1483,0.0008,4.85,0.1119,0.0039,6.427,,,,0.1096,0.0037,6.562,1,2048,qwen25_05b,decode
1,1,0.3218,0.0013,0.4357,0.0011,0.739,0.1803,0.0019,1.785,0.1197,0.0002,2.688,,,,0.1196,0.0001,2.691,1,4096,qwen25_05b,decode
2,1,0.3563,0.0029,0.493,0.0008,0.723,0.1782,0.0011,1.999,0.1202,0.0007,2.964,,,,0.1201,0.0006,2.967,1,4096,qwen25_05b,decode
4,1,0.4645,0.0052,0.6541,0.0038,0.71,0.187,0.0008,2.484,0.1547,0.0125,3.003,,,,0.1504,0.0037,3.088,1,4096,qwen25_05b,decode
8,1,0.8212,0.0036,1.036,0.0072,0.793,0.2017,0.0033,4.071,0.1431,0.0029,5.739,,,,0.1417,0.0004,5.795,1,4096,qwen25_05b,decode
16,1,1.349,0.054,1.7996,0.018,0.75,0.248,0.001,5.44,0.1786,0.0003,7.553,,,,0.179,0.0005,7.536,1,4096,qwen25_05b,decode
1,1,0.6025,0.0022,0.7397,0.0032,0.815,0.3079,0.0013,1.957,0.1939,0.0005,3.107,,,,0.1945,0.0004,3.098,1,8192,qwen25_05b,decode
2,1,0.6832,0.003,0.8662,0.0016,0.789,0.3081,0.001,2.217,0.1933,0.0004,3.534,,,,0.193,0.0003,3.54,1,8192,qwen25_05b,decode
4,1,0.9913,0.0215,1.254,0.0137,0.791,0.3314,0.0016,2.991,0.2151,0.0014,4.609,,,,0.2116,0.0008,4.685,1,8192,qwen25_05b,decode
8,1,1.5392,0.0558,2.0378,0.0614,0.755,0.3523,0.0017,4.369,0.254,0.025,6.06,,,,0.2417,0.0003,6.368,1,8192,qwen25_05b,decode
16,1,2.579,0.0268,3.502,0.0488,0.736,0.4173,0.008,6.18,0.2984,0.0018,8.643,,,,0.3059,0.0006,8.431,1,8192,qwen25_05b,decode
1,1,1.1782,0.0041,1.3708,0.0215,0.859,0.5672,0.0008,2.077,0.3407,0.0015,3.458,,,,0.3393,0.0003,3.472,1,16384,qwen25_05b,decode
2,1,1.3872,0.0043,1.7317,0.0075,0.801,0.569,0.0017,2.438,0.3406,0.0004,4.073,,,,0.3411,0.0004,4.067,1,16384,qwen25_05b,decode
4,1,1.8858,0.0347,2.4493,0.0349,0.77,0.6103,0.0035,3.09,0.3774,0.0013,4.997,,,,0.3771,0.0005,5.001,1,16384,qwen25_05b,decode
8,1,2.9019,0.071,3.8583,0.0423,0.752,0.6737,0.0044,4.307,0.4326,0.0011,6.708,,,,0.4359,0.0006,6.657,1,16384,qwen25_05b,decode
