config,mode,T_kv,B,pipeline,latency_ms,tokens_per_sec
qwen25_05b,decode,2048,1,P0,0.0563,17759.4
qwen25_05b,decode,2048,1,P1,0.278,3597.0
qwen25_05b,decode,2048,1,P2,0.0969,10315.2
qwen25_05b,decode,2048,1,P3,0.0735,13609.8
qwen25_05b,decode,2048,1,P5,0.0721,13878.9
qwen25_05b,decode,2048,2,P0,0.0768,26049.1
qwen25_05b,decode,2048,2,P1,0.2757,7253.2
qwen25_05b,decode,2048,2,P2,0.0967,20679.1
qwen25_05b,decode,2048,2,P3,0.0738,27100.3
qwen25_05b,decode,2048,2,P5,0.0731,27371.0
qwen25_05b,decode,2048,4,P0,0.0705,56774.6
qwen25_05b,decode,2048,4,P1,0.2838,14095.5
qwen25_05b,decode,2048,4,P2,0.0941,42511.6
qwen25_05b,decode,2048,4,P3,0.0726,55120.6
qwen25_05b,decode,2048,4,P5,0.0762,52510.0
qwen25_05b,decode,2048,8,P0,0.1158,69081.1
qwen25_05b,decode,2048,8,P1,0.3287,24337.8
qwen25_05b,decode,2048,8,P2,0.0992,80620.8
qwen25_05b,decode,2048,8,P3,0.0729,109709.0
qwen25_05b,decode,2048,8,P5,0.0744,107573.2
qwen25_05b,decode,2048,16,P0,0.2092,76496.4
qwen25_05b,decode,2048,16,P1,0.4246,37681.2
qwen25_05b,decode,2048,16,P2,0.1068,149829.3
qwen25_05b,decode,2048,16,P3,0.0847,188848.5
qwen25_05b,decode,2048,16,P5,0.0807,198245.5
qwen25_05b,decode,2048,32,P0,0.3937,81289.2
qwen25_05b,decode,2048,32,P1,0.6344,50441.3
qwen25_05b,decode,2048,32,P2,0.1761,181725.0
qwen25_05b,decode,2048,32,P3,0.1296,246829.4
qwen25_05b,decode,2048,32,P5,0.1306,245112.7
qwen25_05b,decode,4096,1,P0,0.0549,18208.3
qwen25_05b,decode,4096,1,P1,0.2735,3656.6
qwen25_05b,decode,4096,1,P2,0.1538,6501.1
qwen25_05b,decode,4096,1,P3,0.1146,8727.5
qwen25_05b,decode,4096,1,P5,0.1142,8759.6
qwen25_05b,decode,4096,2,P0,0.0689,29028.4
qwen25_05b,decode,4096,2,P1,0.2847,7024.3
qwen25_05b,decode,4096,2,P2,0.1537,13013.9
qwen25_05b,decode,4096,2,P3,0.1145,17471.8
qwen25_05b,decode,4096,2,P5,0.1183,16903.9
qwen25_05b,decode,4096,4,P0,0.1153,34692.7
qwen25_05b,decode,4096,4,P1,0.326,12268.4
qwen25_05b,decode,4096,4,P2,0.1573,25428.5
qwen25_05b,decode,4096,4,P3,0.1167,34275.9
qwen25_05b,decode,4096,4,P5,0.1148,34830.5
qwen25_05b,decode,4096,8,P0,0.1983,40336.8
qwen25_05b,decode,4096,8,P1,0.4155,19253.3
qwen25_05b,decode,4096,8,P2,0.1547,51728.4
qwen25_05b,decode,4096,8,P3,0.1166,68583.6
qwen25_05b,decode,4096,8,P5,0.1155,69262.9
qwen25_05b,decode,4096,16,P0,0.3841,41657.9
qwen25_05b,decode,4096,16,P1,0.6283,25466.2
qwen25_05b,decode,4096,16,P2,0.1799,88919.4
qwen25_05b,decode,4096,16,P3,0.1339,119522.3
qwen25_05b,decode,4096,16,P5,0.1311,122006.8
qwen25_05b,decode,4096,32,P0,0.7439,43017.0
qwen25_05b,decode,4096,32,P1,1.1956,26765.4
qwen25_05b,decode,4096,32,P2,0.3327,96185.5
qwen25_05b,decode,4096,32,P3,0.2263,141385.1
qwen25_05b,decode,4096,32,P5,0.2274,140698.8
qwen25_05b,decode,8192,1,P0,0.0695,14384.4
qwen25_05b,decode,8192,1,P1,0.2781,3595.4
qwen25_05b,decode,8192,1,P2,0.2755,3629.4
qwen25_05b,decode,8192,1,P3,0.1991,5022.5
qwen25_05b,decode,8192,1,P5,0.1975,5062.4
qwen25_05b,decode,8192,2,P0,0.1135,17613.7
qwen25_05b,decode,8192,2,P1,0.337,5935.1
qwen25_05b,decode,8192,2,P2,0.2772,7215.8
qwen25_05b,decode,8192,2,P3,0.1998,10011.6
qwen25_05b,decode,8192,2,P5,0.1981,10097.1
qwen25_05b,decode,8192,4,P0,0.1969,20312.6
qwen25_05b,decode,8192,4,P1,0.4112,9728.1
qwen25_05b,decode,8192,4,P2,0.2761,14487.2
qwen25_05b,decode,8192,4,P3,0.2002,19980.6
qwen25_05b,decode,8192,4,P5,0.1997,20032.8
qwen25_05b,decode,8192,8,P0,0.3544,22573.1
qwen25_05b,decode,8192,8,P1,0.5988,13361.1
qwen25_05b,decode,8192,8,P2,0.2772,28856.1
qwen25_05b,decode,8192,8,P3,0.2,39991.2
qwen25_05b,decode,8192,8,P5,0.1995,40098.6
qwen25_05b,decode,8192,16,P0,0.7279,21980.1
qwen25_05b,decode,8192,16,P1,1.1784,13578.2
qwen25_05b,decode,8192,16,P2,0.3207,49889.6
qwen25_05b,decode,8192,16,P3,0.231,69276.0
qwen25_05b,decode,8192,16,P5,0.2288,69935.5
qwen25_05b,decode,8192,32,P0,1.4337,22320.4
qwen25_05b,decode,8192,32,P1,2.3054,13880.2
qwen25_05b,decode,8192,32,P2,0.6915,46273.8
qwen25_05b,decode,8192,32,P3,0.4684,68318.2
qwen25_05b,decode,8192,32,P5,0.4684,68321.7
qwen25_05b,decode,16384,1,P0,0.1148,8713.8
qwen25_05b,decode,16384,1,P1,0.3277,3051.6
qwen25_05b,decode,16384,1,P2,0.5104,1959.4
qwen25_05b,decode,16384,1,P3,0.3618,2763.7
qwen25_05b,decode,16384,1,P5,0.3621,2761.4
qwen25_05b,decode,16384,2,P0,0.1996,10020.1
qwen25_05b,decode,16384,2,P1,0.413,4842.3
qwen25_05b,decode,16384,2,P2,0.5109,3914.5
qwen25_05b,decode,16384,2,P3,0.3622,5521.4
qwen25_05b,decode,16384,2,P5,0.3619,5526.6
qwen25_05b,decode,16384,4,P0,0.3527,11342.0
qwen25_05b,decode,16384,4,P1,0.5938,6736.2
qwen25_05b,decode,16384,4,P2,0.5155,7760.1
qwen25_05b,decode,16384,4,P3,0.3637,10999.0
qwen25_05b,decode,16384,4,P5,0.3647,10967.3
qwen25_05b,decode,16384,8,P0,0.6636,12055.4
qwen25_05b,decode,16384,8,P1,1.1184,7152.8
qwen25_05b,decode,16384,8,P2,0.5173,15464.6
qwen25_05b,decode,16384,8,P3,0.3637,21996.6
qwen25_05b,decode,16384,8,P5,0.3641,21970.5
qwen25_05b,decode,16384,16,P0,1.4085,11359.6
qwen25_05b,decode,16384,16,P1,2.2845,7003.7
qwen25_05b,decode,16384,16,P2,0.6858,23329.6
qwen25_05b,decode,16384,16,P3,0.4726,33855.7
qwen25_05b,decode,16384,16,P5,0.4732,33814.6
qwen25_05b,decode,16384,32,P0,2.8086,11393.7
qwen25_05b,decode,16384,32,P1,4.4866,7132.4
qwen25_05b,decode,16384,32,P2,1.3717,23329.3
qwen25_05b,decode,16384,32,P3,0.9026,35454.6
qwen25_05b,decode,16384,32,P5,0.89,35953.4
qwen25_05b,decode,32768,1,P0,0.1968,5081.1
qwen25_05b,decode,32768,1,P1,0.4117,2428.9
qwen25_05b,decode,32768,1,P2,0.9774,1023.1
qwen25_05b,decode,32768,1,P3,0.6862,1457.2
qwen25_05b,decode,32768,1,P5,0.6851,1459.5
qwen25_05b,decode,32768,2,P0,0.359,5571.0
qwen25_05b,decode,32768,2,P1,0.6009,3328.4
qwen25_05b,decode,32768,2,P2,0.9942,2011.6
qwen25_05b,decode,32768,2,P3,0.6981,2865.1
qwen25_05b,decode,32768,2,P5,0.6962,2872.6
qwen25_05b,decode,32768,4,P0,0.6706,5965.1
qwen25_05b,decode,32768,4,P1,1.1257,3553.3
qwen25_05b,decode,32768,4,P2,0.9966,4013.6
qwen25_05b,decode,32768,4,P3,0.6968,5740.3
qwen25_05b,decode,32768,4,P5,0.6982,5728.8
qwen25_05b,decode,32768,8,P0,1.2955,6175.5
qwen25_05b,decode,32768,8,P1,2.1723,3682.7
qwen25_05b,decode,32768,8,P2,1.2376,6464.0
qwen25_05b,decode,32768,8,P3,0.8327,9607.0
qwen25_05b,decode,32768,8,P5,0.8345,9586.0
qwen25_05b,decode,32768,16,P0,2.8113,5691.3
qwen25_05b,decode,32768,16,P1,4.4911,3562.6
qwen25_05b,decode,32768,16,P2,1.3482,11868.0
qwen25_05b,decode,32768,16,P3,0.9138,17509.7
qwen25_05b,decode,32768,16,P5,0.9114,17556.0
qwen25_05b,decode,32768,32,P0,5.5178,5799.4
qwen25_05b,decode,32768,32,P1,8.7672,3650.0
qwen25_05b,decode,32768,32,P2,2.641,12116.8
qwen25_05b,decode,32768,32,P3,1.7443,18345.2
qwen25_05b,decode,32768,32,P5,1.7398,18393.4
qwen25_05b,decode,65536,1,P0,0.3558,2810.5
qwen25_05b,decode,65536,1,P1,0.6038,1656.3
qwen25_05b,decode,65536,1,P2,1.9371,516.2
qwen25_05b,decode,65536,1,P3,1.3456,743.1
qwen25_05b,decode,65536,1,P5,1.347,742.4
qwen25_05b,decode,65536,2,P0,0.6716,2977.8
qwen25_05b,decode,65536,2,P1,1.1209,1784.2
qwen25_05b,decode,65536,2,P2,1.9384,1031.8
qwen25_05b,decode,65536,2,P3,1.3464,1485.5
qwen25_05b,decode,65536,2,P5,1.3483,1483.4
qwen25_05b,decode,65536,4,P0,1.2975,3082.9
qwen25_05b,decode,65536,4,P1,2.1765,1837.8
qwen25_05b,decode,65536,4,P2,2.4353,1642.5
qwen25_05b,decode,65536,4,P3,1.6239,2463.2
qwen25_05b,decode,65536,4,P5,1.6258,2460.4
qwen25_05b,decode,65536,8,P0,2.5431,3145.7
qwen25_05b,decode,65536,8,P1,4.2204,1895.6
qwen25_05b,decode,65536,8,P2,2.4535,3260.7
qwen25_05b,decode,65536,8,P3,1.6346,4894.2
qwen25_05b,decode,65536,8,P5,1.6368,4887.7
qwen25_05b,decode,65536,16,P0,5.575,2869.9
qwen25_05b,decode,65536,16,P1,8.8314,1811.7
qwen25_05b,decode,65536,16,P2,2.6283,6087.7
qwen25_05b,decode,65536,16,P3,1.7804,8986.7
qwen25_05b,decode,65536,16,P5,1.7804,8986.8
qwen25_05b,decode,65536,32,P0,11.2163,2853.0
qwen25_05b,decode,65536,32,P1,17.4146,1837.5
qwen25_05b,decode,65536,32,P2,5.2098,6142.2
qwen25_05b,decode,65536,32,P3,3.4389,9305.2
qwen25_05b,decode,65536,32,P5,3.4684,9226.1
qwen25_1.8b,decode,2048,1,P0,0.0541,18481.6
qwen25_1.8b,decode,2048,1,P1,0.2709,3691.3
qwen25_1.8b,decode,2048,1,P2,0.1109,9019.6
qwen25_1.8b,decode,2048,1,P3,0.11,9094.4
qwen25_1.8b,decode,2048,1,P5,0.1096,9124.3
qwen25_1.8b,decode,2048,2,P0,0.0746,26803.9
qwen25_1.8b,decode,2048,2,P1,0.2866,6977.4
qwen25_1.8b,decode,2048,2,P2,0.1134,17638.5
