model,n_heads,n_kv_heads,head_dim,T,B,lat_P0_ms,lat_P1_ms,lat_P3_ms,speedup_P5_P0,kv_bytes_fp16,kv_bytes_int4,kv_bytes_per_token_fp16,kv_bytes_per_token_int4,flops,ai_fp16,ai_int4,tokens_per_sec_P0,tokens_per_sec_P5
qwen25_05b,14,2,64,2048,1,0.0298,0.2863,0.0727,0.41,1048576,294912,1048576.0,294912.0,7340032,7.0,24.8889,33534.5,13757.0
qwen25_05b,14,2,64,2048,2,0.0311,0.2874,0.0751,0.414,2097152,589824,1048576.0,294912.0,14680064,7.0,24.8889,64350.1,26648.9
qwen25_05b,14,2,64,2048,4,0.0335,0.2895,0.0732,0.457,4194304,1179648,1048576.0,294912.0,29360128,7.0,24.8889,119545.7,54622.4
qwen25_05b,14,2,64,2048,8,0.0488,0.3377,0.074,0.659,8388608,2359296,1048576.0,294912.0,58720256,7.0,24.8889,163968.0,108048.3
qwen25_05b,14,2,64,2048,16,0.0768,0.436,0.0811,0.947,16777216,4718592,1048576.0,294912.0,117440512,7.0,24.8889,208414.8,197287.3
qwen25_05b,14,2,64,2048,32,0.1408,0.6297,0.1282,1.099,33554432,9437184,1048576.0,294912.0,234881024,7.0,24.8889,227240.5,249707.4
qwen25_05b,14,2,64,4096,1,0.0326,0.2758,0.1143,0.286,2097152,589824,2097152.0,589824.0,14680064,7.0,24.8889,30646.7,8750.4
qwen25_05b,14,2,64,4096,2,0.0345,0.2844,0.1138,0.303,4194304,1179648,2097152.0,589824.0,29360128,7.0,24.8889,58038.3,17576.2
qwen25_05b,14,2,64,4096,4,0.0479,0.3453,0.1157,0.414,8388608,2359296,2097152.0,589824.0,58720256,7.0,24.8889,83524.8,34581.1
qwen25_05b,14,2,64,4096,8,0.0668,0.4206,0.1149,0.581,16777216,4718592,2097152.0,589824.0,117440512,7.0,24.8889,119760.5,69631.8
qwen25_05b,14,2,64,4096,16,0.1349,0.6209,0.1359,0.992,33554432,9437184,2097152.0,589824.0,234881024,7.0,24.8889,118650.3,117733.6
qwen25_05b,14,2,64,4096,32,0.2536,1.181,0.2273,1.116,67108864,18874368,2097152.0,589824.0,469762048,7.0,24.8889,126173.0,140776.3
qwen25_05b,14,2,64,8192,1,0.0362,0.295,0.1965,0.184,4194304,1179648,4194304.0,1179648.0,29360128,7.0,24.8889,27647.2,5089.0
qwen25_05b,14,2,64,8192,2,0.0492,0.3308,0.1974,0.249,8388608,2359296,4194304.0,1179648.0,58720256,7.0,24.8889,40642.2,10133.2
qwen25_05b,14,2,64,8192,4,0.0668,0.4269,0.1984,0.337,16777216,4718592,4194304.0,1179648.0,117440512,7.0,24.8889,59853.4,20160.3
qwen25_05b,14,2,64,8192,8,0.104,0.6008,0.1989,0.523,33554432,9437184,4194304.0,1179648.0,234881024,7.0,24.8889,76915.7,40231.3
qwen25_05b,14,2,64,8192,16,0.2493,1.1692,0.2274,1.096,67108864,18874368,4194304.0,1179648.0,469762048,7.0,24.8889,64179.7,70347.9
qwen25_05b,14,2,64,8192,32,0.4811,2.2877,0.4627,1.04,134217728,37748736,4194304.0,1179648.0,939524096,7.0,24.8889,66508.7,69156.3
qwen25_05b,14,2,64,16384,1,0.0517,0.3286,0.3613,0.143,8388608,2359296,8388608.0,2359296.0,58720256,7.0,24.8889,19353.6,2768.0
qwen25_05b,14,2,64,16384,2,0.0682,0.4207,0.3621,0.188,16777216,4718592,8388608.0,2359296.0,117440512,7.0,24.8889,29338.4,5523.8
qwen25_05b,14,2,64,16384,4,0.1049,0.5949,0.3633,0.289,33554432,9437184,8388608.0,2359296.0,234881024,7.0,24.8889,38135.2,11011.7
qwen25_05b,14,2,64,16384,8,0.184,1.107,0.3641,0.505,67108864,18874368,8388608.0,2359296.0,469762048,7.0,24.8889,43480.6,21972.6
qwen25_05b,14,2,64,16384,16,0.4776,2.2823,0.4774,1.0,134217728,37748736,8388608.0,2359296.0,939524096,7.0,24.8889,33498.0,33514.1
qwen25_05b,14,2,64,16384,32,0.931,4.4678,0.8969,1.038,268435456,75497472,8388608.0,2359296.0,1879048192,7.0,24.8889,34373.5,35678.4
qwen25_05b,14,2,64,32768,1,0.0701,0.4235,0.6897,0.102,16777216,4718592,16777216.0,4718592.0,117440512,7.0,24.8889,14271.2,1449.8
qwen25_05b,14,2,64,32768,2,0.1074,0.6011,0.6934,0.155,33554432,9437184,16777216.0,4718592.0,234881024,7.0,24.8889,18615.0,2884.5
qwen25_05b,14,2,64,32768,4,0.1827,1.1145,0.6942,0.263,67108864,18874368,16777216.0,4718592.0,469762048,7.0,24.8889,21895.0,5762.1
qwen25_05b,14,2,64,32768,8,0.3371,2.1582,0.8258,0.408,134217728,37748736,16777216.0,4718592.0,939524096,7.0,24.8889,23731.8,9687.5
qwen25_05b,14,2,64,32768,16,0.9221,4.4448,0.9073,1.016,268435456,75497472,16777216.0,4718592.0,1879048192,7.0,24.8889,17352.4,17634.4
qwen25_05b,14,2,64,32768,32,1.8021,8.7528,1.7354,1.038,536870912,150994944,16777216.0,4718592.0,3758096384,7.0,24.8889,17757.1,18440.0
qwen25_05b,14,2,64,65536,1,0.1081,0.5999,1.3326,0.081,33554432,9437184,33554432.0,9437184.0,234881024,7.0,24.8889,9249.8,750.4
qwen25_05b,14,2,64,65536,2,0.1828,1.1206,1.3468,0.136,67108864,18874368,33554432.0,9437184.0,469762048,7.0,24.8889,10939.7,1485.1
qwen25_05b,14,2,64,65536,4,0.3381,2.1664,1.6213,0.209,134217728,37748736,33554432.0,9437184.0,939524096,7.0,24.8889,11832.2,2467.2
qwen25_05b,14,2,64,65536,8,0.6438,4.2112,1.6334,0.394,268435456,75497472,33554432.0,9437184.0,1879048192,7.0,24.8889,12427.2,4897.8
qwen25_05b,14,2,64,65536,16,1.8132,8.7557,1.7705,1.024,536870912,150994944,33554432.0,9437184.0,3758096384,7.0,24.8889,8824.1,9037.2
qwen25_05b,14,2,64,65536,32,3.5857,17.4751,3.4414,1.042,1073741824,301989888,33554432.0,9437184.0,7516192768,7.0,24.8889,8924.4,9298.5
qwen25_05b,14,2,64,131072,1,0.1843,1.1323,2.6273,0.07,67108864,18874368,67108864.0,18874368.0,469762048,7.0,24.8889,5426.5,380.6
qwen25_05b,14,2,64,131072,2,0.3406,2.2143,3.1952,0.107,134217728,37748736,67108864.0,18874368.0,939524096,7.0,24.8889,5872.0,625.9
qwen25_05b,14,2,64,131072,4,0.6403,4.3074,3.2407,0.198,268435456,75497472,67108864.0,18874368.0,1879048192,7.0,24.8889,6247.5,1234.3
qwen25_05b,14,2,64,131072,8,1.2449,8.4139,3.1974,0.389,536870912,150994944,67108864.0,18874368.0,3758096384,7.0,24.8889,6426.2,2502.1
qwen25_05b,14,2,64,131072,16,3.5527,17.7607,3.5162,1.01,1073741824,301989888,67108864.0,18874368.0,7516192768,7.0,24.8889,4503.7,4550.4
qwen25_05b,14,2,64,131072,32,7.6785,35.5958,6.8368,1.123,2147483648,603979776,67108864.0,18874368.0,15032385536,7.0,24.8889,4167.5,4680.6
qwen25_1.8b,16,2,128,2048,1,0.0317,0.2698,0.0898,0.353,2097152,589824,2097152.0,589824.0,16777216,8.0,28.4444,31515.9,11137.1
qwen25_1.8b,16,2,128,2048,2,0.0338,0.2919,0.0907,0.373,4194304,1179648,2097152.0,589824.0,33554432,8.0,28.4444,59154.1,22038.6
qwen25_1.8b,16,2,128,2048,4,0.0492,0.3462,0.0925,0.532,8388608,2359296,2097152.0,589824.0,67108864,8.0,28.4444,81218.3,43238.1
qwen25_1.8b,16,2,128,2048,8,0.0715,0.4393,0.0972,0.736,16777216,4718592,2097152.0,589824.0,134217728,8.0,28.4444,111825.5,82321.5
qwen25_1.8b,16,2,128,2048,16,0.1226,0.6425,0.1039,1.18,33554432,9437184,2097152.0,589824.0,268435456,8.0,28.4444,130463.1,153934.9
qwen25_1.8b,16,2,128,2048,32,0.2248,1.2205,0.1724,1.304,67108864,18874368,2097152.0,589824.0,536870912,8.0,28.4444,142380.4,185667.6
qwen25_1.8b,16,2,128,4096,1,0.0361,0.2856,0.1478,0.244,4194304,1179648,4194304.0,1179648.0,33554432,8.0,28.4444,27716.2,6768.2
qwen25_1.8b,16,2,128,4096,2,0.0517,0.3369,0.1532,0.337,8388608,2359296,4194304.0,1179648.0,67108864,8.0,28.4444,38684.7,13053.1
qwen25_1.8b,16,2,128,4096,4,0.0721,0.4406,0.1503,0.479,16777216,4718592,4194304.0,1179648.0,134217728,8.0,28.4444,55501.6,26604.6
qwen25_1.8b,16,2,128,4096,8,0.1141,0.6364,0.1521,0.75,33554432,9437184,4194304.0,1179648.0,268435456,8.0,28.4444,70107.8,52586.6
qwen25_1.8b,16,2,128,4096,16,0.2226,1.2132,0.1735,1.283,67108864,18874368,4194304.0,1179648.0,536870912,8.0,28.4444,71861.7,92213.7
qwen25_1.8b,16,2,128,4096,32,0.4194,2.359,0.3364,1.247,134217728,37748736,4194304.0,1179648.0,1073741824,8.0,28.4444,76290.4,95118.9
qwen25_1.8b,16,2,128,8192,1,0.0521,0.3367,0.2647,0.197,8388608,2359296,8388608.0,2359296.0,67108864,8.0,28.4444,19197.5,3777.9
qwen25_1.8b,16,2,128,8192,2,0.0743,0.4397,0.2733,0.272,16777216,4718592,8388608.0,2359296.0,134217728,8.0,28.4444,26932.4,7318.8
qwen25_1.8b,16,2,128,8192,4,0.1167,0.6331,0.2676,0.436,33554432,9437184,8388608.0,2359296.0,268435456,8.0,28.4444,34275.9,14948.8
qwen25_1.8b,16,2,128,8192,8,0.1999,1.1919,0.2702,0.74,67108864,18874368,8388608.0,2359296.0,536870912,8.0,28.4444,40012.0,29612.1
qwen25_1.8b,16,2,128,8192,16,0.4159,2.3535,0.336,1.238,134217728,37748736,8388608.0,2359296.0,1073741824,8.0,28.4444,38473.6,47626.1
qwen25_1.8b,16,2,128,8192,32,0.8063,4.6035,0.6323,1.275,268435456,75497472,8388608.0,2359296.0,2147483648,8.0,28.4444,39688.4,50610.4
