config,mode,T_kv,B,pipeline,run_id,latency_ms,tokens_per_sec
qwen25_05b,decode,512,1,P0,0,0.054,18521.9
qwen25_05b,decode,512,1,P0,1,0.0496,20149.1
qwen25_05b,decode,512,1,P0,2,0.0491,20362.0
qwen25_05b,decode,512,1,P0,3,0.0491,20345.9
qwen25_05b,decode,512,1,P0,4,0.0492,20316.9
qwen25_05b,decode,512,1,P0,5,0.0487,20512.8
qwen25_05b,decode,512,1,P0,6,0.0488,20512.8
qwen25_05b,decode,512,1,P0,7,0.0485,20635.6
qwen25_05b,decode,512,1,P0,8,0.0484,20656.9
qwen25_05b,decode,512,1,P0,9,0.0692,14448.8
qwen25_05b,decode,512,1,P1,0,0.3084,3242.0
qwen25_05b,decode,512,1,P1,1,0.2663,3754.5
qwen25_05b,decode,512,1,P1,2,0.2643,3783.3
qwen25_05b,decode,512,1,P1,3,0.2784,3592.2
qwen25_05b,decode,512,1,P1,4,0.2742,3647.0
qwen25_05b,decode,512,1,P1,5,0.2634,3796.8
qwen25_05b,decode,512,1,P1,6,0.2627,3806.6
qwen25_05b,decode,512,1,P1,7,0.2972,3364.9
qwen25_05b,decode,512,1,P1,8,0.2643,3784.3
qwen25_05b,decode,512,1,P1,9,0.2595,3853.3
qwen25_05b,decode,512,1,P3,0,0.0452,22114.1
qwen25_05b,decode,512,1,P3,1,0.0426,23452.2
qwen25_05b,decode,512,1,P3,2,0.0614,16294.6
qwen25_05b,decode,512,1,P3,3,0.0449,22286.6
qwen25_05b,decode,512,1,P3,4,0.0409,24426.0
qwen25_05b,decode,512,1,P3,5,0.0409,24420.0
qwen25_05b,decode,512,1,P3,6,0.0408,24515.8
qwen25_05b,decode,512,1,P3,7,0.0403,24801.6
qwen25_05b,decode,512,1,P3,8,0.041,24372.4
qwen25_05b,decode,512,1,P3,9,0.0414,24172.1
qwen25_05b,decode,512,1,P5,0,0.0401,24931.4
qwen25_05b,decode,512,1,P5,1,0.0404,24770.9
qwen25_05b,decode,512,1,P5,2,0.0403,24813.9
qwen25_05b,decode,512,1,P5,3,0.0399,25043.8
qwen25_05b,decode,512,1,P5,4,0.0401,24956.3
qwen25_05b,decode,512,1,P5,5,0.0415,24108.0
