config,mode,T_kv,B,pipeline,n_runs,mean_ms,std_ms,min_ms,max_ms,median_ms,p5_ms,p95_ms,mean_tps,cv_pct
qwen25_05b,decode,512,1,P0,10,0.0515,0.0064,0.0484,0.0692,0.0491,0.0484,0.0692,19417.5,12.52
qwen25_05b,decode,512,1,P1,10,0.2739,0.0165,0.2595,0.3084,0.2663,0.2595,0.3084,3651.0,6.01
qwen25_05b,decode,512,1,P3,10,0.0439,0.0064,0.0403,0.0614,0.0414,0.0403,0.0614,22779.0,14.47
qwen25_05b,decode,512,1,P5,10,0.0402,0.0005,0.0395,0.0415,0.0402,0.0395,0.0415,24875.6,1.29
qwen25_05b,decode,512,2,P0,10,0.0506,0.0021,0.0486,0.0559,0.0501,0.0486,0.0559,39525.7,4.14
qwen25_05b,decode,512,2,P1,10,0.2757,0.02,0.2588,0.3149,0.2667,0.2588,0.3149,7254.3,7.25
qwen25_05b,decode,512,2,P3,10,0.0437,0.0054,0.0401,0.0583,0.0424,0.0401,0.0583,45766.6,12.3
qwen25_05b,decode,512,2,P5,10,0.0401,0.0004,0.0397,0.041,0.04,0.0397,0.041,49875.3,0.96
qwen25_05b,decode,512,4,P0,10,0.0548,0.0074,0.0494,0.0688,0.0515,0.0494,0.0688,72992.7,13.53
qwen25_05b,decode,512,4,P1,10,0.2741,0.0147,0.2613,0.3037,0.2682,0.2613,0.3037,14593.2,5.37
qwen25_05b,decode,512,4,P3,10,0.0412,0.0014,0.0399,0.0444,0.0408,0.0399,0.0444,97087.4,3.49
qwen25_05b,decode,512,4,P5,10,0.0435,0.0064,0.0396,0.0572,0.0407,0.0396,0.0572,91954.0,14.83
qwen25_05b,decode,512,8,P0,10,0.0535,0.0101,0.0487,0.0813,0.0495,0.0487,0.0813,149532.7,18.78
qwen25_05b,decode,512,8,P1,10,0.2735,0.0131,0.2617,0.3029,0.2673,0.2617,0.3029,29250.5,4.81
qwen25_05b,decode,512,8,P3,10,0.0426,0.005,0.0398,0.0566,0.0409,0.0398,0.0566,187793.4,11.84
qwen25_05b,decode,512,8,P5,10,0.0425,0.0048,0.0401,0.0558,0.0411,0.0401,0.0558,188235.3,11.19
qwen25_05b,decode,512,16,P0,10,0.0716,0.0039,0.0692,0.0818,0.0698,0.0692,0.0818,223463.7,5.39
