config,mode,T_kv,B,pipeline,run_id,latency_ms,tokens_per_sec
qwen25_05b,decode,512,1,P0,0,0.0537,18625.4
qwen25_05b,decode,512,1,P0,1,0.052,19249.3
qwen25_05b,decode,512,1,P0,2,0.0513,19493.2
qwen25_05b,decode,512,1,P0,3,0.0501,19980.0
qwen25_05b,decode,512,1,P0,4,0.0514,19470.4
qwen25_05b,decode,512,1,P0,5,0.0506,19770.7
qwen25_05b,decode,512,1,P0,6,0.0494,20226.5
qwen25_05b,decode,512,1,P0,7,0.0493,20267.5
qwen25_05b,decode,512,1,P0,8,0.0485,20601.6
qwen25_05b,decode,512,1,P0,9,0.0476,20995.2
qwen25_05b,decode,512,1,P0,10,0.049,20412.3
qwen25_05b,decode,512,1,P0,11,0.0637,15688.7
qwen25_05b,decode,512,1,P0,12,0.0545,18348.3
qwen25_05b,decode,512,1,P0,13,0.0489,20470.8
qwen25_05b,decode,512,1,P0,14,0.0484,20665.4
qwen25_05b,decode,512,1,P0,15,0.0561,17831.7
qwen25_05b,decode,512,1,P0,16,0.0511,19584.8
qwen25_05b,decode,512,1,P0,17,0.0483,20703.9
qwen25_05b,decode,512,1,P0,18,0.0483,20721.1
qwen25_05b,decode,512,1,P0,19,0.0481,20807.3
qwen25_05b,decode,512,1,P0,20,0.0487,20542.3
qwen25_05b,decode,512,1,P0,21,0.0476,20986.4
qwen25_05b,decode,512,1,P0,22,0.0481,20772.7
qwen25_05b,decode,512,1,P0,23,0.0483,20708.2
qwen25_05b,decode,512,1,P0,24,0.0474,21088.1
qwen25_05b,decode,512,1,P0,25,0.0483,20721.1
qwen25_05b,decode,512,1,P0,26,0.0475,21034.9
qwen25_05b,decode,512,1,P0,27,0.0477,20955.6
qwen25_05b,decode,512,1,P0,28,0.0467,21436.2
qwen25_05b,decode,512,1,P0,29,0.048,20846.4
qwen25_05b,decode,512,1,P0,30,0.0535,18688.1
qwen25_05b,decode,512,1,P0,31,0.0485,20610.1
qwen25_05b,decode,512,1,P0,32,0.0492,20308.7
qwen25_05b,decode,512,1,P0,33,0.0482,20755.5
qwen25_05b,decode,512,1,P0,34,0.0521,19182.4
qwen25_05b,decode,512,1,P0,35,0.0497,20112.6
qwen25_05b,decode,512,1,P0,36,0.0474,21097.0
qwen25_05b,decode,512,1,P0,37,0.048,20850.7
qwen25_05b,decode,512,1,P0,38,0.0483,20721.1
qwen25_05b,decode,512,1,P0,39,0.049,20408.2
qwen25_05b,decode,512,1,P0,40,0.0473,21141.7
qwen25_05b,decode,512,1,P0,41,0.0482,20764.1
qwen25_05b,decode,512,1,P0,42,0.0474,21083.7
qwen25_05b,decode,512,1,P0,43,0.0476,21021.7
qwen25_05b,decode,512,1,P0,44,0.0479,20881.2
qwen25_05b,decode,512,1,P0,45,0.0471,21222.4
qwen25_05b,decode,512,1,P0,46,0.0459,21777.0
qwen25_05b,decode,512,1,P0,47,0.047,21290.2
qwen25_05b,decode,512,1,P0,48,0.0692,14450.9
qwen25_05b,decode,512,1,P0,49,0.048,20824.7
qwen25_05b,decode,512,1,P0,50,0.0474,21097.0
qwen25_05b,decode,512,1,P0,51,0.0485,20635.6
qwen25_05b,decode,512,1,P0,52,0.0587,17021.3
qwen25_05b,decode,512,1,P0,53,0.0476,20995.2
qwen25_05b,decode,512,1,P0,54,0.0471,21213.4
qwen25_05b,decode,512,1,P0,55,0.0473,21123.8
qwen25_05b,decode,512,1,P0,56,0.0477,20963.9
qwen25_05b,decode,512,1,P0,57,0.048,20846.4
qwen25_05b,decode,512,1,P0,58,0.0482,20729.7
qwen25_05b,decode,512,1,P0,59,0.0492,20321.1
qwen25_05b,decode,512,1,P0,60,0.0475,21048.2
qwen25_05b,decode,512,1,P0,61,0.0484,20648.4
qwen25_05b,decode,512,1,P0,62,0.0478,20933.6
qwen25_05b,decode,512,1,P0,63,0.0479,20872.5
qwen25_05b,decode,512,1,P0,64,0.0481,20785.7
qwen25_05b,decode,512,1,P0,65,0.0471,21208.9
qwen25_05b,decode,512,1,P0,66,0.0667,15001.5
qwen25_05b,decode,512,1,P0,67,0.05,19992.0
qwen25_05b,decode,512,1,P0,68,0.0478,20916.1
qwen25_05b,decode,512,1,P0,69,0.0473,21128.2
qwen25_05b,decode,512,1,P0,70,0.0572,17488.6
qwen25_05b,decode,512,1,P0,71,0.0482,20738.3
qwen25_05b,decode,512,1,P0,72,0.0481,20777.1
qwen25_05b,decode,512,1,P0,73,0.0474,21079.3
qwen25_05b,decode,512,1,P0,74,0.0486,20584.6
qwen25_05b,decode,512,1,P0,75,0.0477,20973.2
qwen25_05b,decode,512,1,P0,76,0.0473,21137.2
qwen25_05b,decode,512,1,P0,77,0.0479,20881.2
qwen25_05b,decode,512,1,P0,78,0.0472,21190.9
qwen25_05b,decode,512,1,P0,79,0.048,20824.7
qwen25_05b,decode,512,1,P0,80,0.0471,21235.9
qwen25_05b,decode,512,1,P0,81,0.0471,21217.9
qwen25_05b,decode,512,1,P0,82,0.0477,20951.2
qwen25_05b,decode,512,1,P0,83,0.0467,21427.0
qwen25_05b,decode,512,1,P0,84,0.0631,15852.9
qwen25_05b,decode,512,1,P0,85,0.0518,19297.6
qwen25_05b,decode,512,1,P0,86,0.0469,21317.4
qwen25_05b,decode,512,1,P0,87,0.0473,21119.3
qwen25_05b,decode,512,1,P0,88,0.0529,18907.2
qwen25_05b,decode,512,1,P0,89,0.0499,20056.2
qwen25_05b,decode,512,1,P0,90,0.0474,21101.5
qwen25_05b,decode,512,1,P0,91,0.0471,21245.0
qwen25_05b,decode,512,1,P0,92,0.0477,20968.8
qwen25_05b,decode,512,1,P0,93,0.0475,21074.8
qwen25_05b,decode,512,1,P0,94,0.0479,20876.8
qwen25_05b,decode,512,1,P0,95,0.0466,21468.4
qwen25_05b,decode,512,1,P0,96,0.0496,20177.6
qwen25_05b,decode,512,1,P0,97,0.0464,21537.8
qwen25_05b,decode,512,1,P0,98,0.0477,20960.0
qwen25_05b,decode,512,1,P0,99,0.0479,20889.9
qwen25_05b,decode,512,1,P1,0,0.2671,3743.4
qwen25_05b,decode,512,1,P1,1,0.3073,3254.2
qwen25_05b,decode,512,1,P1,2,0.2711,3688.3
qwen25_05b,decode,512,1,P1,3,0.2662,3756.9
qwen25_05b,decode,512,1,P1,4,0.2907,3440.2
qwen25_05b,decode,512,1,P1,5,0.2875,3478.0
qwen25_05b,decode,512,1,P1,6,0.2645,3781.4
qwen25_05b,decode,512,1,P1,7,0.2595,3853.0
qwen25_05b,decode,512,1,P1,8,0.2977,3358.7
qwen25_05b,decode,512,1,P1,9,0.2639,3788.7
qwen25_05b,decode,512,1,P1,10,0.2619,3818.1
qwen25_05b,decode,512,1,P1,11,0.2879,3473.7
qwen25_05b,decode,512,1,P1,12,0.2829,3535.2
qwen25_05b,decode,512,1,P1,13,0.263,3802.3
qwen25_05b,decode,512,1,P1,14,0.2614,3825.3
qwen25_05b,decode,512,1,P1,15,0.2945,3395.9
qwen25_05b,decode,512,1,P1,16,0.2651,3772.6
qwen25_05b,decode,512,1,P1,17,0.2631,3801.6
qwen25_05b,decode,512,1,P1,18,0.2888,3463.1
qwen25_05b,decode,512,1,P1,19,0.2799,3573.1
qwen25_05b,decode,512,1,P1,20,0.2598,3849.7
qwen25_05b,decode,512,1,P1,21,0.2598,3848.5
qwen25_05b,decode,512,1,P1,22,0.2876,3476.8
qwen25_05b,decode,512,1,P1,23,0.2734,3657.4
qwen25_05b,decode,512,1,P1,24,0.2605,3838.5
qwen25_05b,decode,512,1,P1,25,0.278,3597.5
qwen25_05b,decode,512,1,P1,26,0.2805,3565.7
qwen25_05b,decode,512,1,P1,27,0.2627,3806.9
qwen25_05b,decode,512,1,P1,28,0.2569,3893.2
qwen25_05b,decode,512,1,P1,29,0.2868,3487.0
qwen25_05b,decode,512,1,P1,30,0.2764,3617.8
qwen25_05b,decode,512,1,P1,31,0.2647,3778.0
qwen25_05b,decode,512,1,P1,32,0.259,3860.9
qwen25_05b,decode,512,1,P1,33,0.2931,3411.9
qwen25_05b,decode,512,1,P1,34,0.2673,3741.4
qwen25_05b,decode,512,1,P1,35,0.2598,3849.4
qwen25_05b,decode,512,1,P1,36,0.2812,3556.1
qwen25_05b,decode,512,1,P1,37,0.2783,3593.8
qwen25_05b,decode,512,1,P1,38,0.2604,3840.2
qwen25_05b,decode,512,1,P1,39,0.2577,3880.0
