config,B,T_kv,pipeline,max_memory_mb,oom
qwen25_05b,1,512,P0,35.7,False
qwen25_05b,1,512,P5,34.1,False
qwen25_05b,1,1024,P0,37.9,False
qwen25_05b,1,1024,P5,34.7,False
qwen25_05b,1,2048,P0,42.3,False
qwen25_05b,1,2048,P5,35.8,False
qwen25_05b,1,4096,P0,51.0,False
qwen25_05b,1,4096,P5,38.1,False
qwen25_05b,1,8192,P0,68.4,False
qwen25_05b,1,8192,P5,42.7,False
qwen25_05b,1,16384,P0,103.1,False
qwen25_05b,1,16384,P5,51.8,False
qwen25_05b,1,32768,P0,172.6,False
qwen25_05b,1,32768,P5,70.0,False
qwen25_05b,1,65536,P0,311.5,False
qwen25_05b,1,65536,P5,106.4,False
qwen25_05b,1,131072,P0,589.4,False
qwen25_05b,1,131072,P5,179.3,False
qwen25_05b,32,512,P0,103.1,False
qwen25_05b,32,512,P5,51.8,False
qwen25_05b,32,1024,P0,172.6,False
qwen25_05b,32,1024,P5,70.0,False
qwen25_05b,32,2048,P0,311.5,False
qwen25_05b,32,2048,P5,106.5,False
qwen25_05b,32,4096,P0,589.4,False
qwen25_05b,32,4096,P5,179.4,False
qwen25_05b,32,8192,P0,1145.2,False
qwen25_05b,32,8192,P5,325.1,False
qwen25_05b,32,16384,P0,2256.7,False
qwen25_05b,32,16384,P5,616.6,False
qwen25_05b,32,32768,P0,4479.6,False
qwen25_05b,32,32768,P5,1199.6,False
qwen25_05b,32,65536,P0,8925.6,False
qwen25_05b,32,65536,P5,2365.6,False
qwen25_05b,32,131072,P0,17817.5,False
qwen25_05b,32,131072,P5,4697.7,False
qwen25_1.8b,1,512,P0,38.5,False
qwen25_1.8b,1,512,P5,34.7,False
qwen25_1.8b,1,1024,P0,43.4,False
qwen25_1.8b,1,1024,P5,35.8,False
qwen25_1.8b,1,2048,P0,53.2,False
qwen25_1.8b,1,2048,P5,38.1,False
qwen25_1.8b,1,4096,P0,72.6,False
qwen25_1.8b,1,4096,P5,42.7,False
qwen25_1.8b,1,8192,P0,111.6,False
qwen25_1.8b,1,8192,P5,51.8,False
qwen25_1.8b,1,16384,P0,189.4,False
qwen25_1.8b,1,16384,P5,70.0,False
qwen25_1.8b,1,32768,P0,345.1,False
qwen25_1.8b,1,32768,P5,106.4,False
qwen25_1.8b,1,65536,P0,656.5,False
qwen25_1.8b,1,65536,P5,179.3,False
qwen25_1.8b,1,131072,P0,1279.4,False
qwen25_1.8b,1,131072,P5,325.1,False
qwen25_1.8b,32,512,P0,189.5,False
qwen25_1.8b,32,512,P5,70.1,False
qwen25_1.8b,32,1024,P0,345.2,False
qwen25_1.8b,32,1024,P5,106.6,False
qwen25_1.8b,32,2048,P0,656.7,False
qwen25_1.8b,32,2048,P5,179.4,False
qwen25_1.8b,32,4096,P0,1279.5,False
qwen25_1.8b,32,4096,P5,325.2,False
qwen25_1.8b,32,8192,P0,2525.2,False
qwen25_1.8b,32,8192,P5,616.7,False
qwen25_1.8b,32,16384,P0,5016.7,False
qwen25_1.8b,32,16384,P5,1199.7,False
qwen25_1.8b,32,32768,P0,9999.5,False
qwen25_1.8b,32,32768,P5,2365.7,False
qwen25_1.8b,32,65536,P0,19965.2,False
qwen25_1.8b,32,65536,P5,4697.8,False
qwen25_1.8b,32,131072,P0,39896.5,False
qwen25_1.8b,32,131072,P5,9361.8,False
qwen25_7b,1,512,P0,42.3,False
qwen25_7b,1,512,P5,35.8,False
qwen25_7b,1,1024,P0,51.1,False
qwen25_7b,1,1024,P5,38.1,False
qwen25_7b,1,2048,P0,68.4,False
qwen25_7b,1,2048,P5,42.7,False
qwen25_7b,1,4096,P0,103.1,False
qwen25_7b,1,4096,P5,51.8,False
qwen25_7b,1,8192,P0,172.6,False
qwen25_7b,1,8192,P5,70.0,False
qwen25_7b,1,16384,P0,311.6,False
qwen25_7b,1,16384,P5,106.4,False
qwen25_7b,1,32768,P0,589.4,False
