batch_size,context_len,tokens_per_sec,latency_ms,kv_bandwidth_gb_s
1,1024,122.8,8.142,7.2
1,2048,123.5,8.096,14.5
1,4096,118.5,8.439,27.8
1,8192,111.0,9.012,52.1
1,16384,107.0,9.348,100.5
1,32768,102.5,9.759,192.5
1,65536,92.2,10.85,346.4
8,1024,920.9,8.687,54.1
8,2048,890.1,8.988,104.5
8,4096,837.4,9.554,196.7
8,8192,773.3,10.345,363.3
8,16384,650.9,12.29,611.6
8,32768,496.0,16.128,932.1
16,1024,1736.9,9.212,102.0
16,2048,1648.0,9.709,193.5
16,4096,1499.6,10.67,352.2
16,8192,1317.4,12.146,618.8
16,16384,991.6,16.136,931.6
32,1024,3296.8,9.707,193.6
32,2048,2985.0,10.72,350.6
32,4096,2603.9,12.289,611.6
32,8192,1975.4,16.199,928.0
