W_min,W_max,W_pressure_thresh,W_decay,gate_every_k,B_far_target,B_far_max,ppl,ppl_delta_pct,decode_p50_ms,kv_mb_per_tok,kv_kept_mean,feasible
204,1024,0.5199996582794825,0.95,4,2.0,8,648.5259856193599,5866.018171248892,8.791932370513678,4.098048,333.5,False
204,1024,0.5199996582794825,0.95,4,4.0,8,749.889522540396,6798.496925504853,8.925558533519506,5.056512,411.5,False
204,1024,0.5672641002266396,0.95,4,2.0,8,648.5259856193599,5866.018171248892,8.786562830209732,4.098048,333.5,False
204,1024,0.5672641002266396,0.95,4,4.0,8,749.889522540396,6798.496925504853,8.921724744141102,5.056512,411.5,False
204,1024,0.6295167079745292,0.95,4,2.0,8,648.5259856193599,5866.018171248892,8.791801519691944,4.098048,333.5,False
204,1024,0.6295167079745292,0.95,4,4.0,8,749.889522540396,6798.496925504853,8.912804070860147,5.056512,411.5,False
204,1433,0.5199996582794825,0.95,4,2.0,8,648.5259856193599,5866.018171248892,8.787795901298523,4.098048,333.5,False
204,1433,0.5199996582794825,0.95,4,4.0,8,749.889522540396,6798.496925504853,8.93654115498066,5.056512,411.5,False
204,1433,0.5672641002266396,0.95,4,2.0,8,648.5259856193599,5866.018171248892,8.785402402281761,4.098048,333.5,False
204,1433,0.5672641002266396,0.95,4,4.0,8,749.889522540396,6798.496925504853,8.92114033922553,5.056512,411.5,False
204,1433,0.6295167079745292,0.95,4,2.0,8,648.5259856193599,5866.018171248892,8.774676825851202,4.098048,333.5,False
204,1433,0.6295167079745292,0.95,4,4.0,8,749.889522540396,6798.496925504853,8.908466901630163,5.056512,411.5,False
204,1638,0.5199996582794825,0.95,4,2.0,8,648.5259856193599,5866.018171248892,8.776707574725151,4.098048,333.5,False
204,1638,0.5199996582794825,0.95,4,4.0,8,749.889522540396,6798.496925504853,8.919993415474892,5.056512,411.5,False
204,1638,0.5672641002266396,0.95,4,2.0,8,648.5259856193599,5866.018171248892,8.786750491708517,4.098048,333.5,False
204,1638,0.5672641002266396,0.95,4,4.0,8,749.889522540396,6798.496925504853,8.918397128582,5.056512,411.5,False
204,1638,0.6295167079745292,0.95,4,2.0,8,648.5259856193599,5866.018171248892,8.772770874202251,4.098048,333.5,False
204,1638,0.6295167079745292,0.95,4,4.0,8,749.889522540396,6798.496925504853,8.91763623803854,5.056512,411.5,False
204,1843,0.5199996582794825,0.95,4,2.0,8,648.5259856193599,5866.018171248892,8.785788901150227,4.098048,333.5,False
204,1843,0.5199996582794825,0.95,4,4.0,8,749.889522540396,6798.496925504853,8.912621065974236,5.056512,411.5,False
204,1843,0.5672641002266396,0.95,4,2.0,8,648.5259856193599,5866.018171248892,8.781911805272102,4.098048,333.5,False
204,1843,0.5672641002266396,0.95,4,4.0,8,749.889522540396,6798.496925504853,8.911936078220606,5.056512,411.5,False
204,1843,0.6295167079745292,0.95,4,2.0,8,648.5259856193599,5866.018171248892,8.78394115716219,4.098048,333.5,False
204,1843,0.6295167079745292,0.95,4,4.0,8,749.889522540396,6798.496925504853,8.910020347684622,5.056512,411.5,False
204,1945,0.5199996582794825,0.95,4,2.0,8,648.5259856193599,5866.018171248892,8.769345935434103,4.098048,333.5,False
204,1945,0.5199996582794825,0.95,4,4.0,8,749.889522540396,6798.496925504853,8.90853488817811,5.056512,411.5,False
204,1945,0.5672641002266396,0.95,4,2.0,8,648.5259856193599,5866.018171248892,8.780327159911394,4.098048,333.5,False
204,1945,0.5672641002266396,0.95,4,4.0,8,749.889522540396,6798.496925504853,8.91031650826335,5.056512,411.5,False
204,1945,0.6295167079745292,0.95,4,2.0,8,648.5259856193599,5866.018171248892,8.78460519015789,4.098048,333.5,False
204,1945,0.6295167079745292,0.95,4,4.0,8,749.889522540396,6798.496925504853,8.908344432711601,5.056512,411.5,False
409,1024,0.5199996582794825,0.95,4,2.0,8,1982.663259407172,18139.215228660585,9.099250193685293,6.617088,538.5,False
409,1024,0.5199996582794825,0.95,4,4.0,8,1730.2097913271023,15816.807165825461,9.20027308166027,7.550976,614.5,False
409,1024,0.5672641002266396,0.95,4,2.0,8,1982.663259407172,18139.215228660585,9.111817926168442,6.617088,538.5,False
409,1024,0.5672641002266396,0.95,4,4.0,8,1730.2097913271023,15816.807165825461,9.203996043652296,7.550976,614.5,False
409,1024,0.6295167079745292,0.95,4,2.0,8,1982.663259407172,18139.215228660585,9.116684086620808,6.617088,538.5,False
409,1024,0.6295167079745292,0.95,4,4.0,8,1730.2097913271023,15816.807165825461,9.197410196065903,7.550976,614.5,False
409,1433,0.5199996582794825,0.95,4,2.0,8,1982.663259407172,18139.215228660585,9.114079177379608,6.617088,538.5,False
409,1433,0.5199996582794825,0.95,4,4.0,8,1730.2097913271023,15816.807165825461,9.202101733535528,7.550976,614.5,False
409,1433,0.5672641002266396,0.95,4,2.0,8,1982.663259407172,18139.215228660585,9.100314695388079,6.617088,538.5,False
409,1433,0.5672641002266396,0.95,4,4.0,8,1730.2097913271023,15816.807165825461,9.198146872222424,7.550976,614.5,False
409,1433,0.6295167079745292,0.95,4,2.0,8,1982.663259407172,18139.215228660585,9.097711183130741,6.617088,538.5,False
409,1433,0.6295167079745292,0.95,4,4.0,8,1730.2097913271023,15816.807165825461,9.206782095134258,7.550976,614.5,False
409,1638,0.5199996582794825,0.95,4,2.0,8,1982.663259407172,18139.215228660585,9.115153457969427,6.617088,538.5,False
409,1638,0.5199996582794825,0.95,4,4.0,8,1730.2097913271023,15816.807165825461,9.210741147398949,7.550976,614.5,False
409,1638,0.5672641002266396,0.95,4,2.0,8,1982.663259407172,18139.215228660585,9.117120876908302,6.617088,538.5,False
409,1638,0.5672641002266396,0.95,4,4.0,8,1730.2097913271023,15816.807165825461,9.206298738718033,7.550976,614.5,False
409,1638,0.6295167079745292,0.95,4,2.0,8,1982.663259407172,18139.215228660585,9.114887565374374,6.617088,538.5,False
409,1638,0.6295167079745292,0.95,4,4.0,8,1730.2097913271023,15816.807165825461,9.207597933709621,7.550976,614.5,False
409,1843,0.5199996582794825,0.95,4,2.0,8,1982.663259407172,18139.215228660585,9.105613455176353,6.617088,538.5,False
409,1843,0.5199996582794825,0.95,4,4.0,8,1730.2097913271023,15816.807165825461,9.203302673995495,7.550976,614.5,False
409,1843,0.5672641002266396,0.95,4,2.0,8,1982.663259407172,18139.215228660585,9.114040527492762,6.617088,538.5,False
409,1843,0.5672641002266396,0.95,4,4.0,8,1730.2097913271023,15816.807165825461,9.198870975524187,7.550976,614.5,False
409,1843,0.6295167079745292,0.95,4,2.0,8,1982.663259407172,18139.215228660585,9.099488146603107,6.617088,538.5,False
409,1843,0.6295167079745292,0.95,4,4.0,8,1730.2097913271023,15816.807165825461,9.202703833580017,7.550976,614.5,False
409,1945,0.5199996582794825,0.95,4,2.0,8,1982.663259407172,18139.215228660585,9.110578801482916,6.617088,538.5,False
409,1945,0.5199996582794825,0.95,4,4.0,8,1730.2097913271023,15816.807165825461,9.187030605971813,7.550976,614.5,False
409,1945,0.5672641002266396,0.95,4,2.0,8,1982.663259407172,18139.215228660585,9.099078830331564,6.617088,538.5,False
409,1945,0.5672641002266396,0.95,4,4.0,8,1730.2097913271023,15816.807165825461,9.192704688757658,7.550976,614.5,False
409,1945,0.6295167079745292,0.95,4,2.0,8,1982.663259407172,18139.215228660585,9.098305832594633,6.617088,538.5,False
409,1945,0.6295167079745292,0.95,4,4.0,8,1730.2097913271023,15816.807165825461,9.195419028401375,7.550976,614.5,False
614,1024,0.5199996582794825,0.95,4,2.0,8,1313.7342528668678,11985.502506596626,9.393110405653715,9.136128,743.5,False
614,1024,0.5199996582794825,0.95,4,4.0,8,1276.7351090674608,11645.134396262385,9.480710607022047,10.020864,815.5,False
614,1024,0.5672641002266396,0.95,4,2.0,8,1313.7342528668678,11985.502506596626,9.39583033323288,9.136128,743.5,False
614,1024,0.5672641002266396,0.95,4,4.0,8,1276.7351090674608,11645.134396262385,9.495813865214586,10.020864,815.5,False
614,1024,0.6295167079745292,0.95,4,2.0,8,1313.7342528668678,11985.502506596626,9.395828004926443,9.136128,743.5,False
614,1024,0.6295167079745292,0.95,4,4.0,8,1276.7351090674608,11645.134396262385,9.497061837464571,10.020864,815.5,False
614,1433,0.5199996582794825,0.95,4,2.0,8,1313.7342528668678,11985.502506596626,9.390887338668108,9.136128,743.5,False
614,1433,0.5199996582794825,0.95,4,4.0,8,1276.7351090674608,11645.134396262385,9.492087177932262,10.020864,815.5,False
614,1433,0.5672641002266396,0.95,4,2.0,8,1313.7342528668678,11985.502506596626,9.385152719914913,9.136128,743.5,False
614,1433,0.5672641002266396,0.95,4,4.0,8,1276.7351090674608,11645.134396262385,9.48593020439148,10.020864,815.5,False
614,1433,0.6295167079745292,0.95,4,2.0,8,1313.7342528668678,11985.502506596626,9.387015830725431,9.136128,743.5,False
614,1433,0.6295167079745292,0.95,4,4.0,8,1276.7351090674608,11645.134396262385,9.497670456767082,10.020864,815.5,False
614,1638,0.5199996582794825,0.95,4,2.0,8,1313.7342528668678,11985.502506596626,9.391774889081717,9.136128,743.5,False
614,1638,0.5199996582794825,0.95,4,4.0,8,1276.7351090674608,11645.134396262385,9.48785524815321,10.020864,815.5,False
614,1638,0.5672641002266396,0.95,4,2.0,8,1313.7342528668678,11985.502506596626,9.386378340423107,9.136128,743.5,False
614,1638,0.5672641002266396,0.95,4,4.0,8,1276.7351090674608,11645.134396262385,9.500179905444384,10.020864,815.5,False
614,1638,0.6295167079745292,0.95,4,2.0,8,1313.7342528668678,11985.502506596626,9.396756067872047,9.136128,743.5,False
614,1638,0.6295167079745292,0.95,4,4.0,8,1276.7351090674608,11645.134396262385,9.493502788245678,10.020864,815.5,False
614,1843,0.5199996582794825,0.95,4,2.0,8,1313.7342528668678,11985.502506596626,9.400876238942146,9.136128,743.5,False
614,1843,0.5199996582794825,0.95,4,4.0,8,1276.7351090674608,11645.134396262385,9.496021084487438,10.020864,815.5,False
614,1843,0.5672641002266396,0.95,4,2.0,8,1313.7342528668678,11985.502506596626,9.389105252921581,9.136128,743.5,False
614,1843,0.5672641002266396,0.95,4,4.0,8,1276.7351090674608,11645.134396262385,9.486493188887835,10.020864,815.5,False
614,1843,0.6295167079745292,0.95,4,2.0,8,1313.7342528668678,11985.502506596626,9.386307559907436,9.136128,743.5,False
614,1843,0.6295167079745292,0.95,4,4.0,8,1276.7351090674608,11645.134396262385,9.485252667218447,10.020864,815.5,False
614,1945,0.5199996582794825,0.95,4,2.0,8,1313.7342528668678,11985.502506596626,9.383061435073614,9.136128,743.5,False
614,1945,0.5199996582794825,0.95,4,4.0,8,1276.7351090674608,11645.134396262385,9.49000520631671,10.020864,815.5,False
614,1945,0.5672641002266396,0.95,4,2.0,8,1313.7342528668678,11985.502506596626,9.390351362526417,9.136128,743.5,False
614,1945,0.5672641002266396,0.95,4,4.0,8,1276.7351090674608,11645.134396262385,9.490991476923227,10.020864,815.5,False
614,1945,0.6295167079745292,0.95,4,2.0,8,1313.7342528668678,11985.502506596626,9.386465884745121,9.136128,743.5,False
614,1945,0.6295167079745292,0.95,4,4.0,8,1276.7351090674608,11645.134396262385,9.48454299941659,10.020864,815.5,False
1024,1433,0.5199996582794825,0.95,4,2.0,8,1337.2475021008172,12201.809139338373,10.119469836354256,14.174208,1153.5,False
1024,1433,0.5199996582794825,0.95,4,4.0,8,274.544197885773,2425.628440058883,10.174247901886702,15.157248,1233.5,False
1024,1433,0.5672641002266396,0.95,4,2.0,8,1337.2475021008172,12201.809139338373,10.108213406056166,14.174208,1153.5,False
1024,1433,0.5672641002266396,0.95,4,4.0,8,274.544197885773,2425.628440058883,10.18252782523632,15.157248,1233.5,False
1024,1433,0.6295167079745292,0.95,4,2.0,8,1337.2475021008172,12201.809139338373,10.121520608663559,14.174208,1153.5,False
1024,1433,0.6295167079745292,0.95,4,4.0,8,274.544197885773,2425.628440058883,10.187606327235699,15.157248,1233.5,False
1024,1638,0.5199996582794825,0.95,4,2.0,8,1337.2475021008172,12201.809139338373,10.12694276869297,14.174208,1153.5,False
1024,1638,0.5199996582794825,0.95,4,4.0,8,274.544197885773,2425.628440058883,10.183330159634352,15.157248,1233.5,False
1024,1638,0.5672641002266396,0.95,4,2.0,8,1337.2475021008172,12201.809139338373,10.117918718606234,14.174208,1153.5,False
1024,1638,0.5672641002266396,0.95,4,4.0,8,274.544197885773,2425.628440058883,10.175582021474838,15.157248,1233.5,False
1024,1638,0.6295167079745292,0.95,4,2.0,8,1337.2475021008172,12201.809139338373,10.121787432581186,14.174208,1153.5,False
1024,1638,0.6295167079745292,0.95,4,4.0,8,274.544197885773,2425.628440058883,10.179567616432905,15.157248,1233.5,False
1024,1843,0.5199996582794825,0.95,4,2.0,8,1337.2475021008172,12201.809139338373,10.124335065484047,14.174208,1153.5,False
1024,1843,0.5199996582794825,0.95,4,4.0,8,274.544197885773,2425.628440058883,10.178946889936924,15.157248,1233.5,False
1024,1843,0.5672641002266396,0.95,4,2.0,8,1337.2475021008172,12201.809139338373,10.126985609531403,14.174208,1153.5,False
1024,1843,0.5672641002266396,0.95,4,4.0,8,274.544197885773,2425.628440058883,10.180571116507053,15.157248,1233.5,False
1024,1843,0.6295167079745292,0.95,4,2.0,8,1337.2475021008172,12201.809139338373,10.120073333382607,14.174208,1153.5,False
1024,1843,0.6295167079745292,0.95,4,4.0,8,274.544197885773,2425.628440058883,10.186026338487864,15.157248,1233.5,False
1024,1945,0.5199996582794825,0.95,4,2.0,8,1337.2475021008172,12201.809139338373,10.119595099240541,14.174208,1153.5,False
1024,1945,0.5199996582794825,0.95,4,4.0,8,274.544197885773,2425.628440058883,10.176342446357012,15.157248,1233.5,False
1024,1945,0.5672641002266396,0.95,4,2.0,8,1337.2475021008172,12201.809139338373,10.108423419296741,14.174208,1153.5,False
1024,1945,0.5672641002266396,0.95,4,4.0,8,274.544197885773,2425.628440058883,10.188729967921972,15.157248,1233.5,False
1024,1945,0.6295167079745292,0.95,4,2.0,8,1337.2475021008172,12201.809139338373,10.1216621696949,14.174208,1153.5,False
1024,1945,0.6295167079745292,0.95,4,4.0,8,274.544197885773,2425.628440058883,10.18411573022604,15.157248,1233.5,False
1433,1638,0.5199996582794825,0.95,4,2.0,8,1670.254196107453,15265.25460127115,10.655365884304047,19.2,1562.5,False
1433,1638,0.5199996582794825,0.95,4,4.0,8,1465.8564623848679,13384.928106124718,10.723629500716925,20.133888,1638.5,False
1433,1638,0.5672641002266396,0.95,4,2.0,8,1670.254196107453,15265.25460127115,10.661279782652855,19.2,1562.5,False
